school_name,school_type,country,lsoa_code,pupils
The Aldgate School,Primary,England,E01032739,249
City of London School for Girls,Not applicable,England,E01000002,780
St Paul's Cathedral School,Not applicable,England,E01032739,285
City of London School,Not applicable,England,E01032739,1074
Thomas Coram Centre,Nursery,England,E01000937,116
Heath School,Not applicable,England,E01000887,31
Camden Primary Pupil Referral Unit,Not applicable,England,E01035710,19
Argyle Primary School,Primary,England,E01000941,278
West Hampstead Primary School,Primary,England,E01000873,409
Brecknock Primary School,Primary,England,E01000869,288
Brookfield Primary School,Primary,England,E01000908,394
Edith Neville Primary School,Primary,England,E01035709,204
Fleet Primary School,Primary,England,E01000887,215
Hawley Primary School,Primary,England,E01000856,228
Netley Primary School,Primary,England,E01035710,388
New End Primary School,Primary,England,E01000895,320
Primrose Hill School,Primary,England,E01000862,429
Rhyl Community Primary School,Primary,England,E01000900,392
Richard Cobden Primary School,Primary,England,E01000959,379
Torriano Primary School,Primary,England,E01000926,445
Gospel Oak Primary School,Primary,England,E01000886,424
Fitzjohn's Primary School,Primary,England,E01000897,230
Eleanor Palmer Primary School,Primary,England,E01000921,237
"Christ Church Primary School, Hampstead",Primary,England,E01000899,191
Christ Church School,Primary,England,E01000949,173
Emmanuel Church of England Primary School,Primary,England,E01000970,231
Hampstead Parochial Church of England Primary School,Primary,England,E01000879,199
"Holy Trinity CofE Primary School, NW3",Primary,England,E01000883,171
"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,England,E01000856,204
Kentish Town Church of England Primary School,Primary,England,E01000921,226
Rosary Catholic Primary School,Primary,England,E01000898,301
St Alban's Church of England Primary School,Primary,England,E01000917,92
St George the Martyr Church of England Primary School,Primary,England,E01000920,197
St Josephs Catholic Primary School,Primary,England,E01000918,148
St Mary's Kilburn Church of England Primary School,Primary,England,E01000933,229
St Mary and St Pancras Church of England Primary School,Primary,England,E01000955,190
St Patrick's Catholic Primary School,Primary,England,E01000922,121
St Paul's Church of England Primary School,Primary,England,E01000967,187
St Eugene de Mazenod Roman Catholic Primary School,Primary,England,E01000933,204
Our Lady Roman Catholic Primary School,Primary,England,E01000861,219
Haverstock School,Secondary,England,E01000902,909
Parliament Hill School,Secondary,England,E01000912,1229
Regent High School,Secondary,England,E01000952,1086
Hampstead School,Secondary,England,E01000871,1228
Acland Burghley School,Secondary,England,E01000928,1218
The Camden School for Girls,Secondary,England,E01035707,1076
Maria Fidelis Catholic School FCJ,Secondary,England,E01000955,812
